name,type,status,latitude,longitude,address,state,region,country,zip,timeZone,Verified_Lat,Verified_Long,Match_Status,API_Status
ABE2,Traditional Sortable,Active,40.55783,-75.61497,"705 Boulder Drive, Breinigsville, PA",PA,NE,United States,18031-1533,America/New_York (UTC:-04:00),40.5593266,-75.612309,Mismatch,OK
ABE3,IXD,Active,40.55522,-75.62134,"650 Boulder Drive, Breinigsville, PA",PA,NE,United States,18031-1536,America/New_York (UTC:-04:00),40.5582695,-75.6218855,Mismatch,OK
ABE4,Traditional Non-Sort,Active,40.74138,-75.27827,"1610 Van Buren Road, Easton, PA",PA,NE,United States,18045,America/New_York (UTC:-04:00),40.7388651,-75.2785901,Mismatch,OK
ABE5,MbA,Active,40.12461,-75.39722,"2455 Boulevard of the Generals, Norristown, PA",PA,NE,United States,19403,America/New_York (UTC:-04:00),40.1251542,-75.3967573,Match,OK
ABE8,IXD,Active,40.11015,-74.80167,"401 Independence Road, Florence, NJ",NJ,NE,United States,8518,America/New_York (UTC:-04:00),40.1083853,-74.8007365,Mismatch,OK
ABQ1,AR Sortable,Active,35.08057,-106.8045,"12945 Ladera Dr NW, Albuquerque, NM",NM,TX,United States,87120,America/Denver (UTC:-06:00),35.0804377,-106.8040051,Match,OK
ABQ2,IXD,Active,34.82536,-106.81426,"6251 Pioneer Trail NW, Los Lunas, NM",NM,TX,United States,87031,America/Denver (UTC:-06:00),34.838954,-106.6947351,Mismatch,OK
ABQ5,Sort Center,Active,35.08378,-106.8059,"15480 Reservoir Road NW, Albuquerque, NM",NM,TX,United States,87121,America/Denver (UTC:-06:00),35.0841882,-106.804882,Mismatch,OK
ACY1,AR Sortable,Active,39.82355,-75.21681,"240 Mantua Grove Road, West Deptford, NJ",NJ,NE,United States,8066,America/New_York (UTC:-04:00),39.8244876,-75.2142383,Mismatch,OK
ACY2,Traditional Non-Sort,Active,40.08723,-74.83792,"1101 East Pearl Street, Burlington, NJ",NJ,NE,United States,8016,America/New_York (UTC:-04:00),40.0906929,-74.8344998,Mismatch,OK
ACY5,Sort Center,Active,39.77521,-75.37746,"2277 Center Square Road, Bridgeport, NJ",NJ,NE,United States,8014,America/New_York (UTC:-04:00),39.7765475,-75.3764217,Mismatch,OK
ACY8,Sort Center,Active,40.05465,-74.88308,"8 Campus Drive, Burlington, NJ",NJ,NE,United States,8016,America/New_York (UTC:-04:00),40.0543727,-74.8812219,Mismatch,OK
ACY9,Sort Center,Active,39.76699,-75.38311,"1150 Commerce Dr, Logan Township, NJ",NJ,NE,United States,8085,America/New_York (UTC:-04:00),40.0398295,-74.8434101,Mismatch,OK
AFW1,Apparel,Active,32.84229,-97.32911,"1851 NE Loop 820, Fort Worth, TX",TX,TX,United States,76131,America/Chicago (UTC:-05:00),32.842359,-97.3282268,Match,OK
AFW2,Returns,Active,32.73497,-96.60605,"12728 Lake June Rd, Balch Springs, TX",TX,TX,United States,75181,America/Chicago (UTC:-05:00),32.7347213,-96.6063026,Match,OK
AFW5,Sort Center,Active,32.73497,-96.60605,"12728 Lake June Rd, Balch Springs, TX",TX,TX,United States,75181,America/Chicago (UTC:-05:00),32.7347213,-96.6063026,Match,OK
AFW9,SPP,Idle,32.73351,-96.39542,"1111 Akron Way, Forney, TX",TX,TX,United States,75126,America/Chicago (UTC:-05:00),32.7350902,-96.3968146,Mismatch,OK
AGS1,AR Sortable,Active,33.5011,-82.32347,"2150 Discovery Drive, Appling, GA",GA,MS,United States,30802,America/New_York (UTC:-04:00),33.5010234,-82.3232445,Match,OK
AGS2,AR Quick Deploy,Active,34.17663,-83.65273,"429 Toy Wright Road, Pendergrass, GA",GA,MS,United States,30567,America/New_York (UTC:-04:00),34.1765459,-83.6511841,Mismatch,OK
AGS5,Sort Center,Active,33.50765,-82.33035,"785 Innovation Pkwy, Appling, GA",GA,MS,United States,30802,America/New_York (UTC:-04:00),33.5067976,-82.3299725,Match,OK
AID2,ASU,Active,42.32142,-111.29689,"276 North 4th Street, Montpelier, ID",ID,NW,United States,83254,America/Boise (UTC:-06:00),42.3214178,-111.2968886,Match,OK
AKC1,AR Sortable,Active,41.04792,-81.58428,"2400 Romig Road, Akron, OH",OH,MW,United States,44320,America/New_York (UTC:-04:00),41.049723,-81.5823459,Mismatch,OK
AKH4,MbA,Idle,35.26616,-81.12805,"525 Scalybark Rd, Gastonia, NC",NC,MA,United States,28054,America/New_York (UTC:-04:00),35.2676684,-81.1267555,Mismatch,OK
AKR1,Traditional Non-Sort,Active,40.84703,-81.31239,"4747 Rebar Ave NE, Canton, OH",OH,MW,United States,44705,America/New_York (UTC:-04:00),40.8486583,-81.3122856,Mismatch,OK
AKS5,ASU,Active,38.36503,-98.78823,"1315 Lincoln St and 3520 Lakin Ave, Great Bend, KS",KS,TX,United States,67530,America/Chicago (UTC:-05:00),38.3648148,-98.7870726,Mismatch,OK
AKT1,ASU,Active,40.7568,-79.64065,"167 Northpointe Boulevard, Freeport, PA",PA,NE,United States,16229,America/New_York (UTC:-04:00),40.7568234,-79.6394356,Mismatch,OK
ALB1,Traditional Non-Sort,Active,42.54102,-73.68144,"1835 US Route 9, Schodack, NY",NY,NE,United States,12033,America/New_York (UTC:-04:00),42.5420457,-73.6806253,Mismatch,OK
ALB5,Sort Center,Active,42.54958,-73.68043,"1710 Schodack Valley Rd, Castleton, NY",NY,NE,United States,12033,America/New_York (UTC:-04:00),42.5518741,-73.6790291,Mismatch,OK
AMA1,Traditional Non-Sort,Active,35.23383,-101.74667,"2395 N. Lakeside Drive, Amarillo, TX",TX,TX,United States,79108-7749,America/Chicago (UTC:-05:00),35.2362362,-101.7427355,Mismatch,OK
AMO2,ASU,Active,40.07393,-93.59429,"2006 E 9th St., Trenton, MO",MO,GL,United States,64683,America/Chicago (UTC:-05:00),40.0735782,-93.5944666,Match,OK
ANC1,ASU,Active,34.87887,-76.90557,"218 East Main Street, Havelock, NC",NC,MA,United States,28532,America/New_York (UTC:-04:00),34.8790869,-76.9061173,Match,OK
APC1,Storage and Distribution Centers (SDC),Active,38.41232,-121.95661,"920 Eubanks Drive, Vacaville, CA",CA,SW,United States,95688,America/Los_Angeles (UTC:-07:00),38.4153195,-121.9546624,Mismatch,OK
ATL2,AR Sortable,Active,33.81169,-84.11484,"2255 West Park Place Boulevard, Stone Mountain, GA",GA,MS,United States,30087,America/New_York (UTC:-04:00),33.8123392,-84.1154078,Match,OK
ATL5,RSR,Active,34.04621,-84.60395,"4190 Jiles Road, Kennesaw, GA",GA,MS,United States,30144-1223,America/New_York (UTC:-04:00),34.0470229,-84.6034579,Match,OK
ATL6,Sort Center,Active,33.64334,-84.50021,"4200 North Commerce Drive, East Point, GA",GA,MS,United States,30344,America/New_York (UTC:-04:00),33.6447176,-84.4993505,Mismatch,OK
ATL7,Storage and Distribution Centers (SDC),Active,33.56392,-84.54236,"6855 Shannon Parkway, Union City, GA",GA,MS,United States,30291,America/New_York (UTC:-04:00),33.5664838,-84.5390528,Mismatch,OK
ATN1,ASU,Active,36.48067,-87.88347,"1322 Donelson Parkway, Dover, TN",TN,MS,United States,37058,America/Chicago (UTC:-05:00),36.4803791,-87.8888988,Mismatch,OK
ATN6,ASU,Active,37.24382,-83.17948,"1441 East Main Street, Hazard, KY",KY,MW,United States,41701,America/New_York (UTC:-04:00),37.2441413,-83.1789114,Match,OK
ATX2,ASU,Active,26.354,-98.77195,"5332 E US Highway 83, Rio Grande City, TX",TX,TX,United States,78582,America/Chicago (UTC:-05:00),26.3543961,-98.7732406,Mismatch,OK
AUN2,Returns,Active,47.21865,-122.33011,"7449 45TH ST CT E, FIFE, WA",WA,NW,United States,98424,America/Los_Angeles (UTC:-07:00),47.2172659,-122.3302634,Mismatch,OK
AUS2,AR Sortable,Active,30.43248,-97.59834,"2000 East Pecan St, Pflugerville, TX",TX,TX,United States,78660,America/Chicago (UTC:-05:00),30.4313331,-97.599195,Mismatch,OK
AUS3,AR Sortable,Active,31.49581,-97.17107,"2000 Exchange Parkway, Waco, TX",TX,TX,United States,76712,America/Chicago (UTC:-05:00),31.4953948,-97.171055,Match,OK
AUS5,Sort Center,Active,30.02521,-97.85707,"2575 Kyle Crossing, Kyle, TX",TX,TX,United States,78640,America/Chicago (UTC:-05:00),30.0250092,-97.8562905,Match,OK
AUS9,SPP,Idle,30.67753,-97.65731,"SEC I-35 & TX State Hwy 130, Georgetown, TX",TX,TX,United States,18202,America/Chicago (UTC:-05:00),46.8165412,-92.0549955,Mismatch,OK
AVP1,IXD,Active,40.92235,-76.04884,"550 Oak Ridge Road, Hazleton, PA",PA,NE,United States,18424,America/New_York (UTC:-04:00),40.9233912,-76.0469353,Mismatch,OK
AVP3,AMXL,Active,41.2781,-75.49863,"298 First Avenue, Gouldsboro, PA",PA,NE,United States,18640,America/New_York (UTC:-04:00),41.278102,-75.4961509,Mismatch,OK
AVP8,Storage and Distribution Centers (SDC),Active,41.31307,-75.77245,"250 Enterprise Way, Pittston, PA",PA,NE,United States,18434,America/New_York (UTC:-04:00),41.3142402,-75.7708134,Mismatch,OK
AVP9,AMXL,Active,41.45664,-75.54606,"45 Valley View Circle, Jessup, PA",PA,NE,United States,53821,America/New_York (UTC:-04:00),41.4543031,-75.5466302,Mismatch,OK
AWI5,ASU,Active,43.02215,-91.12005,"37735 US-18, Prairie du Chien, WI",WI,GL,United States,85338,America/Chicago (UTC:-05:00),43.0222748,-91.1207461,Match,OK
AZA2,Command Center,Active,33.45358,-112.35734,"555 North Litchfield Road, Goodyear, AZ",AZ,SW,United States,85043,America/Phoenix (UTC:-07:00),33.4537947,-112.3568238,Match,OK
