Origin Region,Site Name,Origin Type,Date,Demand,Full Day Demand,Supply,Balance
Florida,AGS1,FC,2025-07-05 0:00:00,10,10,27,17
Florida,AGS5,SC,2025-07-05 0:00:00,0,0,0,0
Florida,DAB2,FC,2025-07-05 0:00:00,1,1,0,-1
Florida,JAX2,FC,2025-07-05 0:00:00,11,11,51,40
Florida,JAX3,FC,2025-07-05 0:00:00,4,4,17,13
Florida,JAX5,SC,2025-07-05 0:00:00,6,5,14,8
Florida,JAX7,FC,2025-07-05 0:00:00,4,4,12,8
Florida,JAX9,SC,2025-07-05 0:00:00,0,0,0,0
Florida,KLAL,GW,2025-07-05 0:00:00,0,0,8,8
Florida,KMIA,GW,2025-07-05 0:00:00,0,0,20,20
Florida,MCO1,FC,2025-07-05 0:00:00,4,4,38,34
Florida,MCO2,FC,2025-07-05 0:00:00,7,7,31,24
Florida,MCO5,SC,2025-07-05 0:00:00,7,6,26,19
Florida,MCO9,SC,2025-07-05 0:00:00,0,0,19,19
Florida,MIA1,FC,2025-07-05 0:00:00,11,10,51,40
Florida,MIA2,SC,2025-07-05 0:00:00,0,0,21,21
Florida,MIA5,SC,2025-07-05 0:00:00,0,0,1,1
Florida,PMI2,FC,2025-07-05 0:00:00,0,1,0,0
Florida,POR2,SC,2025-07-05 0:00:00,0,0,0,0
Florida,RSW5,SC,2025-07-05 0:00:00,0,0,2,2
Florida,SAV3,FC,2025-07-05 0:00:00,4,4,14,10
Florida,SAV4,FC,2025-07-05 0:00:00,10,9,30,20
Florida,TLH2,FC,2025-07-05 0:00:00,7,6,19,12
Florida,TPA1,FC,2025-07-05 0:00:00,4,4,29,25
Florida,TPA2,FC,2025-07-05 0:00:00,6,5,4,-2
Florida,TPA3,FC,2025-07-05 0:00:00,1,1,26,25
Florida,TPA4,FC,2025-07-05 0:00:00,7,6,35,28
GreatLakes,DSM5,FC,2025-07-05 0:00:00,11,10,41,30
GreatLakes,DSM9,SC,2025-07-05 0:00:00,0,0,4,4
GreatLakes,FOE1,FC,2025-07-05 0:00:00,4,4,19,15
GreatLakes,FSD1,FC,2025-07-05 0:00:00,10,10,36,26
GreatLakes,IGQ1,FC,2025-07-05 0:00:00,7,6,49,42
GreatLakes,IGQ2,FC,2025-07-05 0:00:00,2,2,18,16
GreatLakes,JVL1,FC,2025-07-05 0:00:00,8,8,23,15
GreatLakes,KMCI,GW,2025-07-05 0:00:00,0,0,0,0
GreatLakes,KMSP,GW,2025-07-05 0:00:00,0,0,1,1
GreatLakes,KRFD,GW,2025-07-05 0:00:00,0,0,14,14
GreatLakes,MCI5,SC,2025-07-05 0:00:00,1,1,9,8
GreatLakes,MCI9,SC,2025-07-05 0:00:00,4,3,25,21
GreatLakes,MDW4,FC,2025-07-05 0:00:00,1,1,7,6
GreatLakes,MDW5,SC,2025-07-05 0:00:00,2,2,20,18
GreatLakes,MDW6,FC,2025-07-05 0:00:00,3,3,15,12
GreatLakes,MDW7,FC,2025-07-05 0:00:00,7,7,41,34
GreatLakes,MDW9,FC,2025-07-05 0:00:00,0,0,2,2
GreatLakes,MKC4,FC,2025-07-05 0:00:00,3,3,14,11
GreatLakes,MKC6,FC,2025-07-05 0:00:00,7,7,32,25
GreatLakes,MKE1,FC,2025-07-05 0:00:00,5,5,30,25
GreatLakes,MKE2,FC,2025-07-05 0:00:00,7,7,39,32
GreatLakes,MKE5,SC,2025-07-05 0:00:00,0,0,0,0
GreatLakes,MKE6,SC,2025-07-05 0:00:00,0,0,23,23
GreatLakes,MLI1,FC,2025-07-05 0:00:00,6,6,34,28
GreatLakes,MSP1,FC,2025-07-05 0:00:00,8,7,35.5,27.5
GreatLakes,MSP7,SC,2025-07-05 0:00:00,0,0,5,5
GreatLakes,MSP8,SC,2025-07-05 0:00:00,0,0,8,8
GreatLakes,MSP9,SC,2025-07-05 0:00:00,1,0,13,12
GreatLakes,OMA2,FC,2025-07-05 0:00:00,8,7,28,20
GreatLakes,ORD2,FC,2025-07-05 0:00:00,5,5,19,14
GreatLakes,ORD5,FC,2025-07-05 0:00:00,8,7,42,34
GreatLakes,ORD9,SC,2025-07-05 0:00:00,3,1,13,10
GreatLakes,PIL4,SC,2025-07-05 0:00:00,0,0,0,0
GreatLakes,STL3,FC,2025-07-05 0:00:00,3,3,14.5,11.5
GreatLakes,STL4,FC,2025-07-05 0:00:00,1,1,8,7
GreatLakes,STL5,SC,2025-07-05 0:00:00,0,0,0,0
GreatLakes,STL8,FC,2025-07-05 0:00:00,6,5,36,30
GreatLakes,STL9,SC,2025-07-05 0:00:00,0,0,0,0
MidAtlantic,ACY1,FC,2025-07-05 0:00:00,8,8,36.5,28.5
MidAtlantic,ACY5,SC,2025-07-05 0:00:00,0,0,0,0
MidAtlantic,ACY8,SC,2025-07-05 0:00:00,0,0,11,11
MidAtlantic,ACY9,SC,2025-07-05 0:00:00,6,7,26,20
MidAtlantic,AKC1,FC,2025-07-05 0:00:00,16,15,38,22
MidAtlantic,BWI2,FC,2025-07-05 0:00:00,8,8,42,34
MidAtlantic,BWI4,FC,2025-07-05 0:00:00,4,4,14,10
MidAtlantic,BWI5,SC,2025-07-05 0:00:00,0,0,10,10
MidAtlantic,CAE1,FC,2025-07-05 0:00:00,5,5,21,16
MidAtlantic,CHO1,FC,2025-07-05 0:00:00,7,7,21,14
MidAtlantic,CLT3,FC,2025-07-05 0:00:00,1,1,15,14
