"Site Code","Total Site Utilization","Total Site Capacity","Total Site Usage","On Site Utilization","On Site Capacity","On Site Usage","Off Site Utilization","Off Site Capacity","Off Site Usage"
"101_RAIL_07657_823",1.5,2,3,1.5,2,3,,0,0
"1405_NSD_60447_377",0.4,10,4,0.4,10,4,,0,0
"1427_NSD_95304_146",1,4,4,1,4,4,,0,0
"1486_NSD_92376_940",1.25,4,5,1.25,4,5,,0,0
"15940_91708_246",1,5,5,1,5,5,,0,0
"201___AL_98674_9541_443",0.2,5,1,0.2,5,1,,0,0
"282___DS_75172_795",1,3,3,1,3,3,,0,0
"2_ABBOTT_45371_469",0.5,8,4,0.5,8,4,,0,0
"320_PARK_01129_1026_146",0.01,100,1,0.01,100,1,,0,0
"3M_AMES_50010_657",0.375,8,3,0.375,8,3,,0,0
"3M_DK1_60115_694​​",3.6,15,54,,0,0,3.6,15,54
"3M_DK6_60115_994",3.6,15,54,,0,0,3.6,15,54
"3M_DKC_60115_130",3.6,15,54,,0,0,3.6,15,54
"3M_FORES_50436_447",0.3333333333333333,3,1,0.3333333333333333,3,1,,0,0
"3M_HUTCH_55350_553",3.8333333333333335,6,23,3.8333333333333335,6,23,,0,0
"3M_MECHA_17404_712",2.6666666666666665,6,16,,0,0,2.6666666666666665,6,16
"3M_MEGUI_38115_388",0.25,4,1,0.25,4,1,,0,0
"3M_ROANO_76262__554",0.38461538461538464,13,5,0.38461538461538464,13,5,,0,0
"3M_ROANO_76262__554_OSY",0.38461538461538464,13,5,0.38461538461538464,13,5,,0,0
"3M_ST__P_55119_795",2,4,8,2,4,8,,0,0
"3M_TONAW_14150_7718_314",1.75,4,7,1.75,4,7,,0,0
"3M_WDC_91761_628",1.6666666666666667,6,10,1.6666666666666667,6,10,,0,0
"48FORTY__33830_826",,0,1,,0,1,,0,0
"48FORTY__35234_231",,0,1,,0,1,,0,0
"48FORTY__37921_767",0.3333333333333333,3,1,0.3333333333333333,3,1,,0,0
"4D6ZP",0.05,100,5,0.05,100,5,,0,0
"5050_EAS_80216_3107_274",0.3333333333333333,6,2,0.3333333333333333,6,2,,0,0
"505___CJ_93263_742",3,3,9,3,3,9,,0,0
"506___DS_60484_3182_185",2.75,4,11,2.75,4,11,,0,0
"508___DS_92407_618",0.25,4,1,0.25,4,1,,0,0
"701___DS_17241_8943_754",1.5,4,6,1.5,4,6,,0,0
"703___DS_30213_2977_604",1.6666666666666667,3,5,1.6666666666666667,3,5,,0,0
"818___TR_95377_581",0.2,5,1,0.2,5,1,,0,0
"99_CENT__77493_506",0.3333333333333333,3,1,0.3333333333333333,3,1,,0,0
"AACT-CHR",0.92,25,23,0.92,25,23,,0,0
"AACT-CHT",2,4,8,2,4,8,,0,0
"AACT-CHW",0.8,5,4,0.8,5,4,,0,0
"AACT-CIN",1.2857142857142858,7,9,1.2857142857142858,7,9,,0,0
"AACT-DAL",0.9272727272727272,55,51,0.9272727272727272,55,51,,0,0
"AACT-DEN",0.7777777777777778,18,14,0.7777777777777778,18,14,,0,0
"AACT-DSP",0.5,8,4,0.5,8,4,,0,0
"AACT-FAY",0.8,10,8,0.8,10,8,,0,0
"AACT-FPR",1,3,3,1,3,3,,0,0
"AACT-FRE",0.4,5,2,0.4,5,2,,0,0
"AACT-GEG",0.5,6,3,0.5,6,3,,0,0
"AACT-GRB",0.38461538461538464,13,5,0.38461538461538464,13,5,,0,0
"AACT-GRE",0.8,5,4,0.8,5,4,,0,0
"AACT-HOU",2.4615384615384617,13,32,2.4615384615384617,13,32,,0,0
"AACT-IND",0.7,30,21,0.7,30,21,,0,0
"AACT-JAC",1,9,9,1,9,9,,0,0
"AACT-JVL",0.875,8,7,0.875,8,7,,0,0
"AACT-JXN",0.6666666666666666,6,4,0.6666666666666666,6,4,,0,0
"AACT-LOU",0.3333333333333333,3,1,0.3333333333333333,3,1,,0,0
"AACT-LRK",1,5,5,1,5,5,,0,0
"AACT-LUB",0.42857142857142855,7,3,0.42857142857142855,7,3,,0,0
"AACT-MAD",1.8333333333333333,6,11,1.8333333333333333,6,11,,0,0
"AACT-MCI",1.5833333333333333,12,19,1.5833333333333333,12,19,,0,0
"AACT-MDW",0.29310344827586204,58,17,0.29310344827586204,58,17,,0,0
"AACT-MEM",1.6521739130434783,23,38,1.6521739130434783,23,38,,0,0
"AACT-MIA",0.875,40,35,0.875,40,35,,0,0
"AACT-MKE",0.14285714285714285,7,1,0.14285714285714285,7,1,,0,0
"AACT-MOD",0.6153846153846154,13,8,0.6153846153846154,13,8,,0,0
"AACT-MRK",0.6956521739130435,46,32,0.6956521739130435,46,32,,0,0
"AACT-NAA",0.3,10,3,0.3,10,3,,0,0
"AACT-NAS",2.217391304347826,23,51,2.217391304347826,23,51,,0,0
"AACT-OKC",0.8333333333333334,6,5,0.8333333333333334,6,5,,0,0
"AACT-ORL",1,7,7,1,7,7,,0,0
"AACT-PHX",1.375,24,33,1.375,24,33,,0,0
"AACT-RNO",0.25,4,1,0.25,4,1,,0,0
"AACT-RWI",0.3888888888888889,18,7,0.3888888888888889,18,7,,0,0
"AACT-SAA",1.1,10,11,1.1,10,11,,0,0
"AACT-SAT",0.4666666666666667,15,7,0.4666666666666667,15,7,,0,0
"AACT-SLC",2.6666666666666665,3,8,2.6666666666666665,3,8,,0,0
"AACT-SNL",1.4444444444444444,9,13,1.4444444444444444,9,13,,0,0
"AACT-STL",0.25,4,1,0.25,4,1,,0,0
"AACT-TAM",0.8888888888888888,18,16,0.8888888888888888,18,16,,0,0
"AACT-VGT",0.22857142857142856,35,8,0.22857142857142856,35,8,,0,0
"AACT-WAA",0.2916666666666667,24,7,0.2916666666666667,24,7,,0,0
"AACT-WCH",0.6666666666666666,9,6,0.6666666666666666,9,6,,0,0
"AACT-YKM",2.25,4,9,2.25,4,9,,0,0
"AAMY",0.5,4,2,0.5,4,2,,0,0
"AAMZ",0.13333333333333333,15,2,0.13333333333333333,15,2,,0,0
"AAQS",0.06666666666666667,15,1,0.06666666666666667,15,1,,0,0
"AARM",1.1,10,11,,0,0,1.1,10,11
"ABBN7",0.01,100,1,0.01,100,1,,0,0
"ABBN7_AZ",0.37,100,37,0.37,100,37,,0,0
"ABBN7_GA",0.02,100,2,0.02,100,2,,0,0
"ABBN7_PA",0.19,100,19,0.19,100,19,,0,0
"ABBN7_TX",0.05,100,5,0.05,100,5,,0,0
"ABE2",0.7559523809523809,168,127,0.7559523809523809,168,127,,0,0
"ABE3",0.589540412044374,631,372,0.6911764705882353,272,188,0.5125348189415042,359,184
"ABE4",0.7034883720930233,344,242,0.8495575221238938,226,192,0.423728813559322,118,50
"ABE5",0.5263157894736842,19,10,0.5263157894736842,19,10,,0,0
"ABE8",0.675609756097561,820,554,0.864516129032258,310,268,0.5607843137254902,510,286
"ABE8-OSY-1",0.675609756097561,820,554,0.864516129032258,310,268,0.5607843137254902,510,286
"ABE8-OSY-NODE",0.675609756097561,820,554,0.864516129032258,310,268,0.5607843137254902,510,286
"ABE8-OSY2-NODE",0.675609756097561,820,554,0.864516129032258,310,268,0.5607843137254902,510,286
"ABE8-OSY3-NODE",0.675609756097561,820,554,0.864516129032258,310,268,0.5607843137254902,510,286
